Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.5328773168578994,[18747. 18032. 16594.],[18193. 18128. 18110.],0.938765789640163,1.0927112102508545
1,0.12444836716681378,[18026. 17765. 18445.],[18193. 18128. 18110.],0.938765789640163,3.4303808212280273
2,0.06222418358340689,[18231. 17974. 18241.],[18193. 18128. 18110.],0.938765789640163,5.9341442584991455
3,0.05779137743784591,[18231. 17974. 18241.],[18193. 18128. 18110.],0.938765789640163,8.518079996109009
4,-0.0,[18193. 18128. 18110.],[18193. 18128. 18110.],0.938765789640163,11.25174331665039
