Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.40229459659511474,[19153. 19373. 16466.],[21989. 17434. 14928.],0.9046693645229973,0.2257823944091797
1,0.2428250282949319,[20060. 19552. 15538.],[21989. 17434. 14928.],0.9404933222380565,0.6964139938354492
2,0.10763812995811047,[20060. 19552. 15538.],[21989. 17434. 14928.],0.9404933222380565,1.184105634689331
3,0.08128306307730118,[20060. 19552. 15538.],[21989. 17434. 14928.],0.9404933222380565,1.6798231601715088
4,0.07454237557689553,[20060. 19552. 15538.],[21989. 17434. 14928.],0.9404933222380565,2.179556131362915
5,0.05020086364323236,[20060. 19552. 15538.],[21989. 17434. 14928.],0.9404933222380565,2.708395004272461
6,0.004281340729427609,[20060. 19552. 15538.],[21989. 17434. 14928.],0.9404933222380565,3.227193593978882
