Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.28565400843881855,[19891. 17148. 16356.],[21575. 18884. 15631.],0.9301714058187379,0.6311893463134766
1,0.15379746835443037,[20410. 17758. 15407.],[21575. 18884. 15631.],0.948441278589865,1.8945684432983398
2,0.11624472573839663,[20578. 17740. 15439.],[21575. 18884. 15631.],0.9544262953608207,3.2283456325531006
3,0.02670064162291965,[21018. 16668. 15416.],[21575. 18884. 15631.],0.9613043265806632,4.6151533126831055
4,0.01808194258886045,[21061. 16481. 15280.],[21575. 18884. 15631.],0.9606058478926522,6.0084288120269775
5,0.014558997611578785,[20920. 17260. 15095.],[21575. 18884. 15631.],0.9608771275537293,7.4027650356292725
6,0.004062089067054484,[20920. 17260. 15095.],[21575. 18884. 15631.],0.9608771275537293,8.815749883651733
