Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.22865192891200695,[17299. 18881. 16811.],[20260. 19926. 18312.],0.9044769125933967,0.6364908218383789
1,0.11428781773545514,[18206. 17985. 17139.],[20260. 19926. 18312.],0.916414463106088,1.940002202987671
2,0.1022973558734287,[17807. 18027. 17160.],[20260. 19926. 18312.],0.9119501564349297,3.3147614002227783
3,0.061711863870423156,[17690. 17716. 17632.],[20260. 19926. 18312.],0.9179124641803414,4.717552423477173
4,0.035327264846120504,[17678. 18158. 17469.],[20260. 19926. 18312.],0.9186804923929952,6.222765207290649
5,-0.0,[17696. 18483. 17451.],[20260. 19926. 18312.],0.9221491455289746,7.74909520149231
