Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.7511294441170694,[16665. 17912. 15604.],[17447. 17103. 17383.],0.9249051823228548,1.0626740455627441
1,0.17835395796503634,[16733. 17285. 16551.],[17447. 17103. 17383.],0.9249051823228548,3.3420634269714355
2,0.02765620531742907,[17447. 17103. 17383.],[17447. 17103. 17383.],0.9249051823228548,5.872165203094482
3,0.027002528972721034,[17447. 17103. 17383.],[17447. 17103. 17383.],0.9249051823228548,8.53838038444519
4,0.013170319453764227,[17447. 17103. 17383.],[17447. 17103. 17383.],0.9249051823228548,11.274383068084717
5,-0.0,[17447. 17103. 17383.],[17447. 17103. 17383.],0.9249051823228548,14.07107925415039
