Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.3540680640072121,[18141. 19038. 17849.],[19376. 18691. 19154.],0.9437537131083381,1.27040433883667
1,0.32567049808429116,[17671. 19056. 17830.],[19376. 18691. 19154.],0.9375628804934844,3.8267428874969482
2,0.11614255174115415,[17104. 17745. 19114.],[19376. 18691. 19154.],0.964886119934148,6.698820352554321
3,0.06333107955826009,[17566. 17491. 18991.],[19376. 18691. 19154.],0.9646486073306941,9.758646011352539
4,0.055767037669545445,[17566. 17491. 18991.],[19376. 18691. 19154.],0.9646486073306941,12.6462721824646
5,0.029486505609189258,[17104. 17745. 19114.],[19376. 18691. 19154.],0.964886119934148,15.550187349319458
6,0.01313391643977811,[17104. 17745. 19114.],[19376. 18691. 19154.],0.964886119934148,18.51534867286682
7,0.006537598431393714,[17104. 17745. 19114.],[19376. 18691. 19154.],0.964886119934148,21.520923852920532
