Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.33974833456698744,[18781. 19262. 16762.],[19552. 18934. 18893.],0.9023434377864376,0.26491856575012207
1,0.2800790649298721,[19109. 18930. 17260.],[19552. 18934. 18893.],0.9251590738419431,0.8469364643096924
2,0.10843819393042191,[19109. 18930. 17260.],[19552. 18934. 18893.],0.9251590738419431,1.4018604755401611
3,0.02683986749134733,[18435. 18464. 17553.],[19552. 18934. 18893.],0.9341551692369315,1.9773199558258057
4,1.0518767368765361e-17,[18435. 18464. 17553.],[19552. 18934. 18893.],0.9341551692369315,2.5623526573181152
